sim,sourceX,sourceY,targetX,targetY
10,2015,T-4,2016,S-10
5,2015,T-8,2016,S-10
20,2016,S-10,2017,T-10
20.5,2016,S-5,2017,T-10
5,2016,S-6,2017,T-10
20,2016,S-8,2017,T-10
15,2016,T-3,2017,S-1
20,2016,T-7,2017,S-1
15,2016,T-9,2017,S-1
5,2016,S-5,2017,T-1
5,2016,S-6,2017,T-1
41,2016,S-8,2017,T-1
5,2016,S-5,2017,T-2
5,2016,S-6,2017,T-2
15.4,2016,S-8,2017,T-2
5,2016,T-3,2017,S-3
5,2016,T-9,2017,S-3
20,2015,S-2,2016,T-3
20,2015,S-7,2016,T-3
10,2014,S-9,2015,T-4
5.1,2015,T-4,2016,S-5
5,2015,T-8,2016,S-5
10,2016,S-10,2017,T-5
10,2016,S-5,2017,T-5
30,2016,S-8,2017,T-5
10,2015,T-4,2016,S-6
10,2015,T-8,2016,S-6
5,2016,S-10,2017,T-6
10,2016,S-5,2017,T-6
5,2016,S-8,2017,T-6
20,2015,S-2,2016,T-7
20,2015,S-7,2016,T-7
10,2015,T-4,2016,S-8
10,2015,T-8,2016,S-8
5,2014,S-4,2015,T-8
15,2014,S-9,2015,T-8
15.4,2015,S-2,2016,T-9
5,2015,S-7,2016,T-9
15.4,2015,S-2,2017,T-10
25,2015,S-7,2017,T-10
10.3,2015,T-4,2017,S-1
25.6,2015,T-8,2017,S-1
20,2015,S-2,2017,T-1
20,2015,S-7,2017,T-1
15,2015,S-2,2017,T-2
15,2015,S-7,2017,T-2
10,2015,T-4,2017,S-3
10,2015,T-8,2017,S-3
5,2014,S-4,2016,T-3
10.3,2014,S-9,2016,T-3
20,2015,S-2,2017,T-5
20.5,2015,S-7,2017,T-5
10,2015,S-2,2017,T-6
15,2015,S-7,2017,T-6
30,2014,S-4,2016,T-7
25,2014,S-9,2016,T-7
25,2014,S-4,2017,T-10
15,2014,S-9,2017,T-10
5,2014,S-4,2017,T-1
15,2014,S-9,2017,T-1
5,2014,S-4,2017,T-2
15,2014,S-9,2017,T-2
10,2014,S-4,2017,T-5
20,2014,S-9,2017,T-5
10,2014,S-4,2017,T-6
20,2014,S-9,2017,T-6
